Date;ETR;;
janv-06;23,68;;
févr-06;17,69;;
mars-06;45,85;;
avr-06;41,45;;
mai-06;44,85;;
juin-06;73,34;;
juil-06;60,05;;
août-06;62,91;;
sept-06;54,33;;
oct-06;47,99;;
nov-06;26,87;;
déc-06;19,02;;
janv-07;15,8;;
févr-07;24,4;;
mars-07;41,51;;
avr-07;42,15;;
mai-07;79,27;;
juin-07;62,18;;
juil-07;56,85;;
août-07;60,44;;
sept-07;32,24;;
oct-07;41,03;;
nov-07;14,76;;
déc-07;24,25;;
janv-08;23,74;;
févr-08;18,91;;
mars-08;33,29;;
avr-08;41,82;;
mai-08;59,32;;
juin-08;63,17;;
juil-08;58,36;;
août-08;46,27;;
sept-08;42,63;;
oct-08;32,84;;
nov-08;18,4;;
déc-08;17,36;;
janv-09;22,66;;
févr-09;23,28;;
mars-09;36,09;;
avr-09;46,87;;
mai-09;56,22;;
juin-09;50,94;;
juil-09;76,75;;
août-09;61,28;;
sept-09;48,22;;
oct-09;32,09;;
nov-09;35,74;;
déc-09;16,39;;
janv-10;13,58;;
févr-10;16,95;;
mars-10;37,93;;
avr-10;49,51;;
mai-10;65,03;;
juin-10;90,69;;
juil-10;84,09;;
août-10;68,75;;
sept-10;58,42;;
oct-10;53,74;;
nov-10;21,08;;
déc-10;13,4;;
janv-11;13,31;;
févr-11;31,76;;
mars-11;34,33;;
avr-11;45,12;;
mai-11;71,52;;
juin-11;83,98;;
juil-11;70,56;;
août-11;55,06;;
sept-11;53,36;;
oct-11;40,62;;
nov-11;33,05;;
déc-11;20,71;;
janv-12;10,48;;
févr-12;20,45;;
mars-12;45,42;;
avr-12;48,25;;
mai-12;59,42;;
juin-12;50,15;;
juil-12;72,95;;
août-12;52,32;;
sept-12;55,78;;
oct-12;49,38;;
nov-12;25,44;;
déc-12;16,97;;
