Date;Month;Temp;Prec
;;;
01/01/2017;1;-1,3;0,7
02/01/2017;1;-0,9;3,9
03/01/2017;1;1;5,6
04/01/2017;1;0,4;8,5
05/01/2017;1;-1,2;3,7
06/01/2017;1;-1,6;2,3
07/01/2017;1;-0,2;2,6
08/01/2017;1;0,2;2,2
09/01/2017;1;0,2;1,9
10/01/2017;1;-0,3;5,2
11/01/2017;1;-0,4;2
12/01/2017;1;-4,5;0,8
13/01/2017;1;-6,4;0
14/01/2017;1;-4,5;0
15/01/2017;1;-6,2;0,2
16/01/2017;1;-5,4;0,1
17/01/2017;1;-7,4;0
18/01/2017;1;-7,2;0
19/01/2017;1;-5,9;0,1
20/01/2017;1;-3;0
21/01/2017;1;-0,7;2,2
22/01/2017;1;-0,5;0
23/01/2017;1;0,1;2,5
24/01/2017;1;-1;5,3
25/01/2017;1;-0,3;4,4
26/01/2017;1;-2,4;2,5
27/01/2017;1;-4,9;0,3
28/01/2017;1;-0,3;0
29/01/2017;1;2,6;2,8
30/01/2017;1;4,8;0,1
31/01/2017;1;5;4,4
01/02/2017;2;0,3;12
02/02/2017;2;0,6;4,1
03/02/2017;2;-0,5;14,7
04/02/2017;2;-0,8;6,3
05/02/2017;2;-0,1;3,6
06/02/2017;2;4;1,1
07/02/2017;2;1,3;2,2
08/02/2017;2;1,7;5,3
09/02/2017;2;4;1,2
10/02/2017;2;2,1;8,3
11/02/2017;2;4,8;0
12/02/2017;2;2,6;5,3
13/02/2017;2;5,5;4,2
14/02/2017;2;6;0
15/02/2017;2;6,4;0,1
16/02/2017;2;5,8;0
17/02/2017;2;4;0
18/02/2017;2;5,8;0
19/02/2017;2;3;0
20/02/2017;2;2,2;0
21/02/2017;2;0,7;0
22/02/2017;2;3,1;0
23/02/2017;2;4;0
24/02/2017;2;7,4;0
25/02/2017;2;6,8;0
26/02/2017;2;8,2;1,2
27/02/2017;2;10,2;0
28/02/2017;2;3,4;0
01/03/2017;3;1,3;12,1
02/03/2017;3;1,1;0,8
03/03/2017;3;2,3;2,9
04/03/2017;3;2,4;1,4
05/03/2017;3;3,4;0
06/03/2017;3;5,3;0
07/03/2017;3;5,9;0
08/03/2017;3;6,2;0
09/03/2017;3;7,2;0
10/03/2017;3;8;0
11/03/2017;3;6,1;0
12/03/2017;3;7,3;0
13/03/2017;3;8,1;0
14/03/2017;3;5,8;0
15/03/2017;3;5,8;0
16/03/2017;3;7,3;0
17/03/2017;3;10,2;0,1
18/03/2017;3;6,8;0
19/03/2017;3;0;10,4
20/03/2017;3;0,1;2
21/03/2017;3;-0,6;2,8
22/03/2017;3;-2,2;6,5
23/03/2017;3;2,9;0
24/03/2017;3;4;0
25/03/2017;3;5,6;0
26/03/2017;3;7,1;0
27/03/2017;3;3,8;0
28/03/2017;3;0,4;0,4
29/03/2017;3;4,3;0
30/03/2017;3;4,9;1,9
31/03/2017;3;6,6;6,3
01/04/2017;4;6,8;2,4
02/04/2017;4;8,2;1,9
03/04/2017;4;7,8;2,1
04/04/2017;4;9,7;0,1
05/04/2017;4;12,9;0
06/04/2017;4;14;0
07/04/2017;4;12,9;0,1
08/04/2017;4;11,1;0,4
09/04/2017;4;10,2;8,6
10/04/2017;4;10,9;0
11/04/2017;4;10,1;4,5
12/04/2017;4;11,1;0
13/04/2017;4;12,6;0,4
14/04/2017;4;11,1;0
15/04/2017;4;6,8;11
16/04/2017;4;8,3;0,8
17/04/2017;4;9,4;1
18/04/2017;4;7,6;4,2
19/04/2017;4;8,3;2,1
20/04/2017;4;8,5;0
21/04/2017;4;8,9;1,9
22/04/2017;4;7,6;2,3
23/04/2017;4;6,7;1,5
24/04/2017;4;5,3;15,6
25/04/2017;4;7,5;4
26/04/2017;4;8,4;2,2
27/04/2017;4;6,7;4,2
28/04/2017;4;9,4;0,9
29/04/2017;4;7,6;8,5
30/04/2017;4;6,2;1,3
01/05/2017;5;7,4;0,3
02/05/2017;5;8,7;1,4
03/05/2017;5;10,3;5
04/05/2017;5;13,4;2,3
05/05/2017;5;16,2;0
06/05/2017;5;10,8;7,2
07/05/2017;5;9,8;3,5
